"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-BB-4224-01"	0.818646921588255	0.976513433276034	1.21430790994681	0.921170756932	0.711372252833	0.704534666666667	"HNSC"	0.5	0.68	0.933604	0.8356
"TCGA-BB-4225-01"	0.571866536666548	0.796625088201433	0.984860138833107	0.768672415643	0.620993236085	0.790645733333333	"HNSC"	0.78	0.61	0.9819372	0.7352
"TCGA-BB-4227-01"	0.569361177069145	0.986709668218253	0.894331734600456	0.927656977834	0.726725641667	0.704690933333333	"HNSC"	0.61	0.75	0.7540728	0.8174
"TCGA-BB-4228-01"	0.637133575794326	0.890910199779481	1.0345359703369	0.816934430259	0.778125958578	0.864219933333333	"HNSC"	0.87	0.85	0.8726598	0.8361
"TCGA-BB-8596-01"	0.376729854410375	0.686583894838895	0.713213481213171	0.643074649769	0.321612691873	0.550847433333333	"HNSC"	0.33	1	0.3225423	0.6137
"TCGA-BB-8601-01"	0.729576005064007	0.984036458626231	1.05362541206751	0.980682234567	0.7110355	0.7208618	"HNSC"	0.72	0.72	0.7225854	0.9776
"TCGA-BB-A5HU-01"	0.488160726756989	0.935219088560836	0.663489573643671	0.789921309797	0.369796016667	0.3455278	"HNSC"	0.34	0.35	0.3465834	0.6573
"TCGA-BB-A5HY-01"	0.774294217887121	0.946528357524916	0.933182287967871	0.912404297198	0.647590939933	0.728882233333333	"HNSC"	0.6	0.6	0.9866467	0.6533
"TCGA-BB-A5HZ-01"	0.221673697131957	0.975230821305971	0.76373045139861	0.884610808832	0.426581100673	0.3714342	"HNSC"	0.32	0.32	0.4743026	0.7153
"TCGA-C9-A480-01"	0.28256490923677	0.98372989671856	0.59571290070672	0.884180753811	0.395605616667	0.325756	"HNSC"	0.33	0.26	0.387268	0.7466
"TCGA-CN-4723-01"	0.637322519441891	0.875316245014457	0.783048902927339	0.785019666169	0.487924766667	0.531708833333333	"HNSC"	0.38	0.36	0.8551265	0.6592
"TCGA-CN-4725-01"	0.475897967764748	0.939723296771438	0.574115736557973	0.906857754321	0.625707802963	0.606966566666667	"HNSC"	0.54	0.57	0.7108997	0.7666
"TCGA-CN-4726-01"	0.433090594638388	0.98053650496458	0.559941422194319	0.730396095091	0.446738658333	0.4749331	"HNSC"	0.61	0.33	0.4847993	0.6244
"TCGA-CN-4727-01"	0.553153184292177	0.925589243943395	0.715996216271169	0.902049421634	0.599775690262	0.585088766666667	"HNSC"	0.51	0.48	0.7652663	0.7223
"TCGA-CN-4728-01"	0.345064265217115	0.682634724926625	0.676145081006669	0.470059102105	0.211366142699	0.223269466666667	"HNSC"	0.29	0.21	0.1698084	0.4734
"TCGA-CN-4729-01"	0.411362813204265	0.968687252450826	0.633618569678949	0.817414401385	0.423047	0.415764333333333	"HNSC"	0.35	0.29	0.607293	0.6617
"TCGA-CN-4730-01"	0.641941341106927	0.995969460073913	0.797832248846521	0.927886808015	0.66067215	0.641160533333333	"HNSC"	0.62	0.46	0.8434816	0.6153
"TCGA-CN-4731-01"	0.457070867819979	0.950383993129681	0.644570327345314	0.830501341022	0.689294964249	0.826165833333333	"HNSC"	0.84	0.64	0.9984975	0.7358
