"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-DB-A64O-01"	0.716060192795964	NA	0.701130230321906	0.895240387282	0.493937661904	0.465884466666667	"LGG"	0.37	0.53	0.4976534	0.836
"TCGA-DB-A64P-01"	0.664599499696672	NA	0.659576644737388	0.921746910671	0.672633163036	0.6789327	"LGG"	0.54	0.65	0.8467981	0.9282
"TCGA-DB-A64Q-01"	0.597146528212241	NA	0.646689810832648	0.961080921872	0.756688915745	0.7486663	"LGG"	0.64	0.79	0.8159989	0.9745
"TCGA-DB-A64R-01"	0.595411032921103	NA	0.580520840800259	0.976656052073	0.817230853337	0.813354366666667	"LGG"	0.83	0.79	0.8200631	0.9903
"TCGA-DB-A64S-01"	0.868635487682226	NA	0.95424892835809	0.813778284798	0.450924751402	0.6598142	"LGG"	0.26	1	0.7194426	0.7855
"TCGA-DB-A64U-01"	0.676319082626465	NA	0.784207119722918	0.954968960854	0.654057979427	0.614176333333333	"LGG"	0.45	0.68	0.712529	0.9679
"TCGA-DB-A64V-01"	0.398246863104664	NA	0.871194623496893	0.820789618588	0.33248125	0.300529866666667	"LGG"	0.29	0.37	0.2415896	0.8079
"TCGA-DB-A64W-01"	0.678325190318713	NA	0.547164466544851	0.996285671095	0.734159668642	0.7571567	"LGG"	0.67	0.81	0.7914701	1
"TCGA-DB-A64X-01"	0.653897985550494	NA	0.616393094793231	0.941214825201	0.700491136529	0.683541633333333	"LGG"	0.53	0.8	0.7206249	0.9595
"TCGA-DB-A75K-01"	0.61212434074255	NA	0.949930007527007	0.879956422522	0.646865946412	0.669347766666667	"LGG"	0.49	0.77	0.7480433	0.8806
"TCGA-DB-A75L-01"	0.59265161679822	NA	0.719854965776973	0.919121196828	0.696477534459	0.757725633333333	"LGG"	0.86	0.6	0.8131769	0.9259
"TCGA-DB-A75M-01"	0.692577052100309	NA	0.69223923406517	0.90654951485	0.725240598151	0.772498033333333	"LGG"	0.73	0.73	0.8574941	0.9057
"TCGA-DB-A75O-01"	0.616178537297409	NA	0.747455543911468	0.857688550882	0.65724205708	0.711558633333333	"LGG"	0.6	0.56	0.9746759	0.8397
"TCGA-DB-A75P-01"	0.378712277546916	NA	0.484610316998929	0.907991279394	0.3273617	0.233090466666667	"LGG"	0.25	0.28	0.1692714	0.8192
"TCGA-DH-5140-01"	0.498095107545097	NA	0.87139608532222	0.93723480077	0.741919366667	0.748962833333333	"LGG"	0.62	0.73	0.8968885	0.7466
"TCGA-DH-5141-01"	0.667207100436066	NA	0.525723758012922	0.92881884575	0.597904848151	0.576109333333333	"LGG"	0.43	0.61	0.688328	0.9387
"TCGA-DH-5142-01"	0.682026474164519	NA	1.05235677068722	0.773708886448	0.495307715468	0.5505264	"LGG"	0.45	0.61	0.5915792	0.7217
"TCGA-DH-5143-01"	0.603105685184722	NA	0.596380323994852	0.895514307182	0.413310211377	0.346778966666667	"LGG"	0.33	0.34	0.3703369	0.8939
"TCGA-DH-5144-01"	0.824572393159768	NA	0.60032351974302	0.962246509902	0.818692595149	0.8366916	"LGG"	0.8	0.89	0.8200748	0.9757
