"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-A2-A0D1-01"	0.780323932491854	NA	0.960075231478938	0.895576782626	0.768061475	0.7752371	"BRCA"	0.76	0.66	0.9057113	0.898
"TCGA-A2-A0D2-01"	0.815144974040559	NA	1.02747610837755	0.739468765377	0.542643214931	0.5511023	"BRCA"	0.6	0.52	0.5333069	0.712
"TCGA-A2-A0D3-01"	0.421304701181047	NA	0.528673168960235	0.828747045647	0.672733957439	0.6970901	"BRCA"	0.94	0.45	0.7012703	0.8266
"TCGA-A2-A0D4-01"	0.725396104522597	NA	0.960322759273611	0.905531261729	0.567650306176	0.611823966666667	"BRCA"	1	0.65	0.1854719	0.8456
"TCGA-A2-A0EM-01"	0.343127714221143	NA	0.559983469353821	0.783620331152	0.572303635844	0.5805059	"BRCA"	0.39	0.69	0.6615177	0.7913
"TCGA-A2-A0EN-01"	0.228878590696362	NA	0.319053096315467	0.468647492667	0.451035783333	0.514968233333333	"BRCA"	0.85	0.3	0.3949047	0.5883
"TCGA-A2-A0EO-01"	0.262957292129853	NA	0.522603181707303	0.645492761759	0.482557309408	0.521197633333333	"BRCA"	0.51	0.46	0.5935929	0.6086
"TCGA-A2-A0EP-01"	0.214246873628091	NA	0.0371226548973399	0.288643613703	0.24175945649	0.265053256666667	"BRCA"	0.25	0.43	0.11515977	0.3512
"TCGA-A2-A0EQ-01"	0.60610818152096	NA	0.481883987698901	0.602330914762	0.414965	0.428852833333333	"BRCA"	0.62	0.25	0.4165585	0.5025
"TCGA-A2-A0ER-01"	0.302579339054316	NA	0.601652814527783	0.85286644111	0.686695111494	0.788267766666667	"BRCA"	1	0.73	0.6348033	0.8351
"TCGA-A2-A0ES-01"	0.063068038657802	NA	0.407654506838584	0.695806483871	0.431312353173	0.309344796666667	"BRCA"	0.48	0.37	0.07803439	0.7674
"TCGA-A2-A0ET-01"	0.340403583656427	NA	0.580283459546355	0.867358671649	0.690472405296	0.779158833333333	"BRCA"	0.6	0.75	0.9874765	0.861
"TCGA-A2-A0EU-01"	0.458478107853995	NA	0.735315688883525	0.83360306793	0.700267523385	0.7283968	"BRCA"	0.71	0.62	0.8551904	0.84
"TCGA-A2-A0EV-01"	0.401721536427361	NA	0.5733242599919	0.672196832213	0.480108866667	0.518478866666667	"BRCA"	0.45	0.43	0.6754366	0.5945
"TCGA-A2-A0EW-01"	0.085393777060687	NA	0.419129082116554	0.630382898812	0.359960091667	0.351567033333333	"BRCA"	0.42	0.28	0.3547011	0.5991
"TCGA-A2-A0EX-01"	0.286074504763578	NA	0.546276187216905	0.717559821572	0.488450010389	0.486866033333333	"BRCA"	0.56	0.5	0.4005981	0.6738
"TCGA-A2-A0EY-01"	0.582125962107482	NA	0.606306821076838	0.751463201507	0.469586479031	0.444188766666667	"BRCA"	0.5	0.47	0.3625663	0.7092
"TCGA-A2-A0ST-01"	0.360479734393159	NA	0.14098208149196	0.47020569373	0.38273859942	0.616067	"BRCA"	0.71	1	0.138201	0.3132
"TCGA-A2-A0SU-01"	0.368352855417384	NA	0.624028171306548	0.767053740563	0.548207929043	0.532909633333333	"BRCA"	0.62	0.55	0.4287289	0.7712
