"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-D3-A3MV-06"	NA	NA	1.04267709881525	0.886593862691	0.700052448478	0.7593214	"SKCM"	0.59	0.69	0.9979642	0.8806
"TCGA-D3-A51E-06"	NA	NA	0.935664362399173	0.760187376854	0.683708311205	0.720200866666667	"SKCM"	0.73	0.72	0.7106026	0.6573
"TCGA-D3-A51F-06"	NA	NA	0.502441725174383	0.337651035448	0.224328281961	0.238671966666667	"SKCM"	0.2	0.36	0.1560159	0.1358
"TCGA-D3-A51G-06"	NA	NA	1.43990805147663	0.81788738473	0.654827486766	0.75986	"SKCM"	0.68	0.6	0.99958	0.7019
"TCGA-D3-A51J-06"	NA	NA	0.744921372658648	0.59623824671	0.449077635539	0.4875227	"SKCM"	0.41	0.53	0.5225681	0.4934
"TCGA-D3-A51K-06"	NA	NA	0.489721331247608	0.793907555745	0.764535302461	0.810457466666667	"SKCM"	0.81	0.73	0.8913724	0.7831
"TCGA-D3-A51N-06"	NA	NA	0.745857519261295	0.709300923634	0.557507504355	0.568940366666667	"SKCM"	0.46	0.66	0.5868211	0.6691
"TCGA-D3-A51R-06"	NA	NA	1.63357912557947	0.975123246302	0.893504408333	0.883045166666667	"SKCM"	0.87	0.86	0.9191355	0.7913
"TCGA-D3-A51T-06"	NA	NA	0.87472688612038	0.837299186497	0.733656230277	0.745551	"SKCM"	0.69	0.78	0.766653	0.8351
"TCGA-D3-A5GL-06"	NA	NA	0.844937350933601	0.909753564985	0.780997750714	0.8330606	"SKCM"	0.75	0.75	0.9991818	0.914
"TCGA-D3-A5GN-06"	NA	NA	1.13958400361834	0.774603327002	0.546635224537	0.661794533333333	"SKCM"	0.5	0.49	0.9953836	0.7413
"TCGA-D3-A5GO-06"	NA	NA	0.577894931153546	0.743962123657	0.612969964164	0.7496396	"SKCM"	0.67	0.58	0.9989188	0.712
"TCGA-D3-A5GR-06"	NA	NA	0.922533978025781	0.655557487586	0.397536690271	0.395084333333333	"SKCM"	0.29	0.45	0.445253	0.5875
"TCGA-D3-A5GS-06"	NA	NA	0.606631349973701	0.729573665184	0.64103774525	0.679906966666667	"SKCM"	0.67	0.59	0.7797209	0.7227
